"","x"
"616","IFE-KI"
"617","Basal"
"618","IFE-DII"
"619","IFE-DII"
"620","IFE-DI"
"621","IFE-DI"
"622","IFE-DII"
"623","IFE-DI"
"624","IFE-DII"
"625","IFE-KI"
"626","IFE-KI"
"627","Basal"
"628","IFE-DI"
"629","IFE-DII"
"630","IFE-DI"
"631","IFE-DII"
"632","IFE-KI"
"633","Basal"
"634","Basal"
"635","IFE-DII"
"636","Basal"
"637","IFE-KI"
"638","IFE-DI"
"639","IFE-KI"
"640","Basal"
"641","IFE-DI"
"642","IFE-DI"
"643","IFE-DII"
"644","IFE-DII"
"645","IFE-DII"
"646","IFE-DII"
"647","Basal"
"648","Basal"
"649","IFE-DI"
"650","IFE-DI"
"651","Basal"
"652","IFE-DI"
"653","Basal"
"654","IFE-DI"
"655","IFE-DII"
"656","IFE-DI"
"657","Basal"
"658","Basal"
"659","IFE-KI"
"660","IFE-DII"
"661","IFE-DI"
"662","IFE-DI"
"663","IFE-DI"
"664","IFE-DI"
"665","IFE-DII"
"666","IFE-DI"
"667","IFE-DI"
"668","IFE-KII"
"669","IFE-KI"
"670","IFE-DI"
"671","IFE-DI"
"672","IFE-DII"
"673","IFE-KI"
"674","IFE-DI"
"675","IFE-DI"
"676","IFE-DII"
"677","IFE-DII"
"678","IFE-KI"
"679","Basal"
"680","IFE-KI"
"681","IFE-DI"
"682","Basal"
"683","Basal"
"684","IFE-DII"
"685","IFE-DI"
"686","IFE-DII"
"687","Basal"
"688","IFE-KI"
"689","IFE-KI"
"690","IFE-DII"
"691","IFE-DII"
"692","IFE-KI"
"693","IFE-KII"
"694","IFE-DI"
"695","IFE-DII"
"696","IFE-DI"
"697","IFE-DI"
"698","Basal"
"699","IFE-DII"
"700","IFE-DI"
"701","IFE-KI"
"702","IFE-KI"
"703","IFE-DII"
"704","IFE-DII"
"705","IFE-KI"
"706","IFE-KI"
"707","IFE-KI"
"708","IFE-DI"
"709","IFE-KI"
"710","IFE-KI"
"711","IFE-KI"
"712","IFE-DI"
"713","Basal"
"714","IFE-KI"
"715","Basal"
"716","IFE-KI"
"717","IFE-DI"
"718","IFE-KI"
"719","IFE-KI"
"720","Basal"
